Trddt,conBeta,disconBeta,Stkcd
2005-10-12,1.705405980658606,1.974397819209464,8
2005-10-13,1.6961675565379666,1.9574317998760176,8
2005-10-27,1.6798693832683735,1.9688935198079809,8
2005-10-28,1.6102916735947743,2.9749652247034244,8
2005-11-01,1.5738467353957948,3.0187948224728056,8
2005-11-02,1.57524926761602,3.0215282352210777,8
2005-11-03,1.5391676370153224,3.0206010758656743,8
2005-11-04,1.5591191709856476,3.0194616539122725,8
2005-11-07,1.509489230947481,3.0150215889421417,8
2005-11-09,1.4757904219893785,3.0222846385527227,8
2005-11-10,1.474797894927039,3.026035099917873,8
2005-12-13,1.4878710330463991,3.1094162892632387,8
2005-12-14,1.490812582238698,3.1118952007152663,8
2005-12-15,1.4658275617190542,3.130508515460825,8
2005-12-16,1.4702772547501088,3.1435602481674554,8
2005-12-19,1.4327369333006983,3.156222746872385,8
2005-12-20,1.418711697240897,3.158853510330612,8
2005-12-21,1.412652571905934,3.169043318007539,8
2005-12-22,1.4070960054441566,3.173374707071225,8
2005-12-23,1.3932981397312567,3.1735177081037453,8
2005-12-26,1.3770031788845467,3.174867774327092,8
2005-12-27,1.3618172789516745,3.1850417569741563,8
2005-12-28,1.3485323339613753,3.180556936544215,8
2005-12-29,1.3572564088100498,3.1827846362239347,8
2005-12-30,1.3239014443149169,3.198795614311293,8
2005-07-11,1.0835911601454489,1.2415408185356531,9
2005-07-12,1.050358858579658,1.1305255533761502,9
2005-07-13,1.0655688595854207,1.126364011336482,9
2005-07-14,1.0642023455696763,1.1268035345553502,9
2005-07-15,1.0575632138955644,1.128819446177966,9
2005-07-18,1.0445585469345555,1.1317725289772034,9
2005-07-19,1.080394136968002,1.161281984222612,9
2005-07-20,1.1068096824977525,1.172628262903077,9
2005-07-21,1.1094442592883795,1.172785682625765,9
2005-07-22,1.1310306924355875,1.1757044929748075,9
2005-07-25,1.1445954241432106,1.1764035941859492,9
2005-07-26,1.140704658832301,1.1751444960305093,9
2005-07-27,1.1505488677497684,1.176650836786853,9
2005-07-28,1.1630659121818552,1.1759988229521925,9
2005-07-29,1.1730033033970182,1.1582298769080062,9
2005-08-01,1.1833964318293424,1.1548501251157162,9
2005-08-02,1.199274540160221,1.155704263973994,9
2005-08-03,1.180967932491411,1.1526477823477497,9
2005-08-04,1.1892002382633984,1.1516323761921572,9
2005-08-05,1.18190587462513,1.1503741707558233,9
2005-08-08,1.186513709667893,1.132396478430741,9
2005-08-09,1.2001849865699794,1.135501586797706,9
2005-08-10,1.1922646797342809,1.1391315820967407,9
2005-08-11,1.1852895219206387,1.1408013126793106,9
